protein id,ORIGIN,Protein description,PH7.85R1,PH7.85R2,PH7.85R3,PH8.15R1,PH8.15R2,PH8.15R3,PH8.45R1,PH8.45R2,PH8.45R3,fold1,fold2,Subcellular localization,Biological Process,Cellular Component,Molecular Function,KEGG KO No.,KEGG Gene,KEGG pathway,IPR ID,Domain description
c190562_g1_orf1,coral,len=427  frame:2  start:2  end:1282  predicted protein [Nematostella vectensis]&gt;gi|156210333|gb|EDO31515.1| predicted protein [Nematostella vectensis],0.746,0.953,0.674,1.005,1.003,0.876,1.193,1.145,1.556,0.822815534,0.675911659,extracellular,,,,,,,,
c212063_g3_orf2,coral,len=1643  frame:2  start:209  end:5137  PREDICTED: collagen alpha-1(I) chain-like [Alligator mississippiensis],0.821,0.901,0.705,1.033,1.029,0.899,1.214,1.219,1.22,0.819655522,0.722419929,endoplasmic reticulum,,,GO:0005201 extracellular matrix structural constituent; GO:0005198 structural molecule activity; ,K19720,"COL3A; collagen, type III, alpha",ko04926 Relaxin signaling pathway; ko04611 Platelet activation; ko04974 Protein digestion and absorption; ko04933 AGE-RAGE signaling pathway in diabetic complications; ko05146 Amoebiasis; ,IPR000885; IPR002035; ,"Fibrillar collagen, C-terminal; von Willebrand factor, type A; "
c197959_g1_orf1,coral,len=336  frame:2  start:167  end:1174  predicted protein [Nematostella vectensis]&gt;gi|156214869|gb|EDO35844.1| predicted protein [Nematostella vectensis],0.757,0.812,0.836,0.896,1.054,0.998,1.313,1.248,1.353,0.815807327,0.649974451,mitochondria,,,GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005509 calcium ion binding; GO:0005488 binding; GO:0043167 ion binding; ,,,,IPR011992; IPR002048; ,EF-hand domain pair; EF-hand domain; 
c194186_g1_orf1,coral,"len=207  frame:3  start:270  end:890  predicted protein [Nematostella vectensis]&gt;gi|156229092|gb|EDO49888.1| predicted protein, partial [Nematostella vectensis]",0.727,0.913,0.814,1.028,0.983,1.014,1.193,1.231,1.294,0.811239669,0.740989779,extracellular,,,,,,,,
c174065_g1_orf1,coral,len=257  frame:-1  start:773  end:3  PREDICTED: uncharacterized protein LOC100206998 isoform X2 [Hydra vulgaris],0.843,0.743,0.833,1,0.825,1.182,1.426,1.238,1.092,0.804456269,0.685835996,cytoplasm,,,,,,,IPR001304; IPR016187; IPR034113; IPR016186; IPR014044; ,"C-type lectin-like; C-type lectin fold; Golgi-associated plant pathogenesis-related protein 1, SCP domain; C-type lectin-like/link domain; CAP domain; "
c204372_g1_orf1,coral,len=295  frame:-1  start:1448  end:564  predicted protein [Nematostella vectensis]&gt;gi|156210318|gb|EDO31502.1| predicted protein [Nematostella vectensis],0.729,0.8,0.819,1.007,0.863,1.128,1.215,1.511,1.151,0.783188793,0.677327831,cytoplasm,,,,,,,IPR016040; ,NAD(P)-binding domain; 
c187852_g1_orf1,coral,len=212  frame:-3  start:874  end:239  PREDICTED: EF-hand domain-containing protein D2-like [Saccoglossus kowalevskii],0.882,0.764,0.807,1.09,1.018,1.029,1.434,1.219,1.096,0.781957284,0.709789277,"cytoplasm,nucleus",,,GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005509 calcium ion binding; GO:0005488 binding; GO:0043167 ion binding; ,,,,IPR011992; IPR002048; ,EF-hand domain pair; EF-hand domain; 
c188031_g2_orf1,coral,len=400  frame:-2  start:1201  end:2  hypothetical protein LOTGIDRAFT_206609 [Lottia gigantea]&gt;gi|556103728|gb|ESO92380.1| hypothetical protein LOTGIDRAFT_206609 [Lottia gigantea],0.756,0.807,0.767,1.023,0.99,1.028,1.229,1.181,1.176,0.76619533,0.724205243,endoplasmic reticulum,GO:0006457 protein folding; GO:0009987 cellular process; ,GO:0043226 organelle; GO:0043231 intracellular membrane-bounded organelle; GO:0043229 intracellular organelle; GO:0005783 endoplasmic reticulum; GO:0044464 cell part; GO:0005622 intracellular; GO:0005737 cytoplasm; GO:0012505 endomembrane system; GO:0044424 intracellular part; GO:0043227 membrane-bounded organelle; GO:0005623 cell; GO:0044444 cytoplasmic part; ,GO:0005488 binding; GO:0043167 ion binding; GO:0046872 metal ion binding; GO:0043169 cation binding; GO:0005515 protein binding; GO:0005509 calcium ion binding; GO:0051082 unfolded protein binding; ,,,,IPR009033; IPR013320; ,"Calreticulin/calnexin, P domain; Concanavalin A-like lectin/glucanase domain; "
c190907_g1_orf1,coral,len=325  frame:-2  start:1583  end:609  hypothetical protein BRAFLDRAFT_266378 [Branchiostoma floridae]&gt;gi|229294824|gb|EEN65478.1| hypothetical protein BRAFLDRAFT_266378 [Branchiostoma floridae],0.974,0.639,0.621,1.071,0.877,0.987,1.374,1.238,1.312,0.761158433,0.594036697,cytoplasm,,,,,,,IPR016040; IPR008030; ,NAD(P)-binding domain; NmrA-like domain; 
c204639_g3_orf1,coral,len=344  frame:-3  start:1398  end:367  predicted protein [Nematostella vectensis]&gt;gi|156213316|gb|EDO34340.1| predicted protein [Nematostella vectensis],0.747,0.813,0.707,1.024,0.956,1.098,1.348,1.318,1.272,0.736517219,0.646013205,cytoplasm,,,GO:0003824 catalytic activity; GO:0016491 oxidoreductase activity; ,,,,IPR000683; IPR016040; ,"Oxidoreductase, N-terminal; NAD(P)-binding domain; "
c212145_g1_orf1,coral,len=1574  frame:3  start:66  end:4787  predicted protein [Nematostella vectensis]&gt;gi|156222298|gb|EDO43144.1| predicted protein [Nematostella vectensis],0.852,0.528,0.886,0.897,0.85,1.373,1.253,1.507,1.066,0.726282051,0.604025091,nucleus,,,GO:0005515 protein binding; GO:0005488 binding; ,,,,IPR013761; IPR011993; IPR001660; IPR020683; IPR006020; ,Sterile alpha motif/pointed domain; PH domain-like; Sterile alpha motif domain; Ankyrin repeat-containing domain; PTB/PI domain; 
c142957_g1_orf1,coral,len=265  frame:3  start:24  end:818  PREDICTED: lactadherin-like [Strongylocentrotus purpuratus],0.689,0.608,0.627,0.865,1.026,0.787,1.092,1.076,1.32,0.718446602,0.60206422,extracellular,,,,,,,IPR000421; IPR008979; ,Coagulation factor 5/8 C-terminal domain; Galactose-binding domain-like; 
c208809_g1_orf1,coral,len=411  frame:1  start:1  end:1233  predicted protein [Nematostella vectensis]&gt;gi|156216354|gb|EDO37293.1| predicted protein [Nematostella vectensis],0.82,0.776,0.658,1.328,0.833,1.031,1.461,1.15,1.155,0.706140351,0.733404142,nucleus,GO:0050794 regulation of cellular process; GO:0044700 single organism signaling; GO:0051716 cellular response to stimulus; GO:0007165 signal transduction; GO:0050789 regulation of biological process; GO:0007154 cell communication; GO:0044699 single-organism process; GO:0023052 signaling; GO:0050896 response to stimulus; GO:0009987 cellular process; GO:0065007 biological regulation; ,GO:0031012 extracellular matrix; GO:0044421 extracellular region part; GO:0005576 extracellular region; GO:0005578 proteinaceous extracellular matrix; ,GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005515 protein binding; GO:0005509 calcium ion binding; GO:0005488 binding; GO:0043167 ion binding; ,,,,IPR002350; IPR002048; IPR019577; IPR011992; ,"Kazal domain; EF-hand domain; SPARC/Testican, calcium-binding domain; EF-hand domain pair; "
c196902_g1_orf1,coral,len=235  frame:3  start:132  end:836  predicted protein [Nematostella vectensis]&gt;gi|156226690|gb|EDO47498.1| predicted protein [Nematostella vectensis],0.672,0.73,0.811,0.841,1.031,1.351,1.116,1.162,1.504,0.686627366,0.629825489,extracellular,,,GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005509 calcium ion binding; GO:0005488 binding; GO:0043167 ion binding; ,,,,IPR011992; IPR002048; IPR001179; ,EF-hand domain pair; EF-hand domain; FKBP-type peptidyl-prolyl cis-trans isomerase domain; 
c176580_g1_orf1,coral,len=151  frame:1  start:379  end:831  PREDICTED: fibroblast growth factor 2 [Struthio camelus australis],0.675,0.691,0.781,1.173,1.054,1.019,1.448,1.326,1.054,0.661429452,0.690961338,"cytoplasm,nucleus",,,GO:0008083 growth factor activity; GO:0005515 protein binding; GO:0005102 receptor binding; GO:0005488 binding; ,,,,,
c167964_g1_orf1,coral,len=123  frame:3  start:162  end:530  hypothetical protein pA79-1 [Acropora millepora],0.737,0.691,0.66,0.996,1.051,1.156,1.348,1.272,1.386,0.651888854,0.585871193,extracellular,,,"GO:0016787 hydrolase activity; GO:0016811 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; GO:0003824 catalytic activity; GO:0016810 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; ",,,,IPR029055; IPR029132; ,"Nucleophile aminohydrolases, N-terminal; Choloylglycine hydrolase/NAAA C-terminal; "
c152625_g1_orf1,coral,len=197  frame:1  start:229  end:819  hypothetical protein BRAFLDRAFT_108765 [Branchiostoma floridae]&gt;gi|229276111|gb|EEN46923.1| hypothetical protein BRAFLDRAFT_108765 [Branchiostoma floridae],0.538,0.694,0.679,1.089,1.054,1.123,1.394,1.43,1.337,0.585119412,0.591684691,extracellular,,,,,,,,
c201202_g1_orf1,coral,len=909  frame:-1  start:3021  end:295  PREDICTED: uncharacterized protein LOC100176654 [Ciona intestinalis],0.44,0.54,0.508,0.895,0.909,0.953,1.373,1.497,1.169,0.539717084,0.481059668,cytoplasm,,,,,,,,
c212177_g1_orf1,coral,len=624  frame:-2  start:2897  end:1026  predicted protein [Nematostella vectensis]&gt;gi|156223351|gb|EDO44187.1| predicted protein [Nematostella vectensis],0.716,0.382,0.666,1.105,0.933,1.234,1.256,1.348,1.659,0.539119804,0.505043397,mitochondria,GO:0006904 vesicle docking involved in exocytosis; GO:0016192 vesicle-mediated transport; GO:0044763 single-organism cellular process; GO:0044699 single-organism process; GO:0048278 vesicle docking; GO:0022406 membrane docking; GO:0051234 establishment of localization; GO:0006810 transport; GO:1902578 single-organism localization; GO:0032940 secretion by cell; GO:0051179 localization; GO:0009987 cellular process; GO:0006887 exocytosis; GO:0044765 single-organism transport; GO:0046903 secretion; ,,,,,,IPR027482; ,"Sec1-like, domain 2; "
c198226_g2_orf1,coral,len=173  frame:1  start:10  end:528  RNA-binding domain-containing protein [Punctularia strigosozonata HHB-11173 SS5]&gt;gi|390602556|gb|EIN11949.1| RNA-binding domain-containing protein [Punctularia strigosozonata HHB-11173 SS5],0.467,0.466,0.539,1.068,1.063,1.161,1.478,1.58,1.616,0.447144593,0.44351733,nucleus,,,GO:0097159 organic cyclic compound binding; GO:1901363 heterocyclic compound binding; GO:1901265 nucleoside phosphate binding; GO:0005488 binding; GO:0003676 nucleic acid binding; GO:0000166 nucleotide binding; GO:0036094 small molecule binding; ,,,,IPR000504; IPR012677; ,RNA recognition motif domain; Nucleotide-binding alpha-beta plait domain; 
c200924_g1_orf1,coral,len=144  frame:-2  start:2753  end:2322  predicted protein [Nematostella vectensis]&gt;gi|156220003|gb|EDO40877.1| predicted protein [Nematostella vectensis],0.484,0.561,0.37,0.89,1.38,0.952,1.286,2.174,1.338,0.439168218,0.379533139,cytoplasm,"GO:0018130 heterocycle biosynthetic process; GO:0006725 cellular aromatic compound metabolic process; GO:0097659 nucleic acid-templated transcription; GO:0034654 nucleobase-containing compound biosynthetic process; GO:1901360 organic cyclic compound metabolic process; GO:0006807 nitrogen compound metabolic process; GO:0009058 biosynthetic process; GO:0032774 RNA biosynthetic process; GO:0044238 primary metabolic process; GO:1901576 organic substance biosynthetic process; GO:0044237 cellular metabolic process; GO:0044249 cellular biosynthetic process; GO:0071704 organic substance metabolic process; GO:0016070 RNA metabolic process; GO:0008152 metabolic process; GO:0034645 cellular macromolecule biosynthetic process; GO:0090304 nucleic acid metabolic process; GO:0046483 heterocycle metabolic process; GO:0044271 cellular nitrogen compound biosynthetic process; GO:0006351 transcription, DNA-templated; GO:0006139 nucleobase-containing compound metabolic process; GO:0019438 aromatic compound biosynthetic process; GO:0044260 cellular macromolecule metabolic process; GO:0034641 cellular nitrogen compound metabolic process; GO:0010467 gene expression; GO:0043170 macromolecule metabolic process; GO:0009059 macromolecule biosynthetic process; GO:0009987 cellular process; GO:1901362 organic cyclic compound biosynthetic process; ",,"GO:0097159 organic cyclic compound binding; GO:1901363 heterocyclic compound binding; GO:1901265 nucleoside phosphate binding; GO:0016779 nucleotidyltransferase activity; GO:0034062 5'-3' RNA polymerase activity; GO:0003824 catalytic activity; GO:0097747 RNA polymerase activity; GO:0005488 binding; GO:0003899 DNA-directed 5'-3' RNA polymerase activity; GO:0000166 nucleotide binding; GO:0016740 transferase activity; GO:0036094 small molecule binding; GO:0016772 transferase activity, transferring phosphorus-containing groups; ",,,,IPR010997; IPR006590; ,"HRDC-like; RNA polymerase II, Rpb4, core; "
c196471_g1,coral,len=817  start:72  end:2521 minus strand,0.815,0.747,0.794,0.87,0.975,0.911,1.382,1.534,1.292,0.854862119,0.572956274,nucleus,,,GO:0005515 protein binding; GO:0005488 binding; ,,,,,
c207862_g2_orf1,coral,"len=658  frame:3  start:159  end:2132  predicted protein [Nematostella vectensis]&gt;gi|156228769|gb|EDO49567.1| predicted protein, partial [Nematostella vectensis]",0.706,0.817,0.736,0.867,0.866,0.962,1.304,1.312,1.696,0.838218924,0.56122449,plasma membrane,GO:0006810 transport; GO:0055085 transmembrane transport; GO:0051179 localization; GO:0051234 establishment of localization; ,GO:0016020 membrane; ,GO:0005215 transporter activity; ,,,,,
c210325_g1_orf1,coral,len=1165  frame:-1  start:3753  end:259  predicted protein [Nematostella vectensis]&gt;gi|156221948|gb|EDO42797.1| predicted protein [Nematostella vectensis],0.757,0.764,0.726,0.97,0.869,0.917,1.379,1.456,1.388,0.815312046,0.582524272,nucleus,,,,,,,IPR020864; IPR006571; IPR009030; ,Membrane attack complex component/perforin (MACPF) domain; TLDc domain; Growth factor receptor cysteine-rich domain; 
c206796_g1_orf1,coral,"len=694  frame:3  start:300  end:2381  Chain A, Structure Of A Calcium-Dependent 11r-Lipoxygenase Suggests A Mechanism For Ca-Regulation&gt;gi|387766219|pdb|3VF1|B Chain B, Structure Of A Calcium-Dependent 11r-Lipoxygenase Suggests A Mechanism For Ca-Regulation",0.619,0.586,0.622,0.811,0.83,0.861,1.627,1.6,1.643,0.730215827,0.414579055,cytoplasm,GO:0044699 single-organism process; GO:0008152 metabolic process; GO:0055114 oxidation-reduction process; GO:0044710 single-organism metabolic process; ,,"GO:0016702 oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; GO:0005506 iron ion binding; GO:0016701 oxidoreductase activity, acting on single donors with incorporation of molecular oxygen; GO:0046914 transition metal ion binding; GO:0003824 catalytic activity; GO:0005488 binding; GO:0051213 dioxygenase activity; GO:0043167 ion binding; GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005515 protein binding; GO:0016491 oxidoreductase activity; ",,,,IPR001024; IPR013819; ,"PLAT/LH2 domain; Lipoxygenase, C-terminal; "
c212558_g1_orf1,coral,len=1665  frame:-2  start:6426  end:1432  predicted protein [Nematostella vectensis]&gt;gi|156213028|gb|EDO34062.1| predicted protein [Nematostella vectensis],0.686,0.742,0.64,0.898,0.919,1.023,1.385,1.373,1.618,0.728169014,0.521023766,"cytoplasm,nucleus",,,,,,,,
c198711_g1_orf1,coral,len=94  frame:-3  start:282  end:1  predicted protein [Nematostella vectensis]&gt;gi|156228449|gb|EDO49248.1| predicted protein [Nematostella vectensis],0.516,0.552,0.636,0.748,0.789,0.822,1.708,1.711,1.701,0.722339975,0.378125,extracellular,,,,,,,IPR016054; ,Ly-6 antigen/uPA receptor-like; 
c178083_g1_orf1,coral,len=190  frame:2  start:2  end:571  hypothetical protein BRAFLDRAFT_128120 [Branchiostoma floridae]&gt;gi|229283651|gb|EEN54391.1| hypothetical protein BRAFLDRAFT_128120 [Branchiostoma floridae],0.799,0.743,0.772,0.771,1.098,0.984,1.263,1.479,1.34,0.81107606,0.560019598,cytoplasm,,,,,,,IPR026029; IPR011008; ,Muconolactone isomerase domain; Dimeric alpha-beta barrel; 
c208062_g1_orf1,coral,len=402  frame:-2  start:2567  end:1362  predicted protein [Nematostella vectensis]&gt;gi|156215523|gb|EDO36481.1| predicted protein [Nematostella vectensis],0.689,0.9,0.666,0.917,0.873,1.12,1.34,1.451,1.383,0.774914089,0.594873023,plasma membrane,,,,,,,IPR001507; ,Zona pellucida domain; 
